finding_id,finding_type,priority,record_id,related_id,field,score,reason,source,reviewer_decision,action,notes
length:b04_ts_chunk_boundaries,context_or_supervision,review,b04_ts_chunk_boundaries,,full_record_tokens,440,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_duplicate_index_rejection,context_or_supervision,review,b04_ts_duplicate_index_rejection,,full_record_tokens,313,answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_no_mutation_sort,context_or_supervision,review,b04_ts_no_mutation_sort,,full_record_tokens,435,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_null_undefined_distinction,context_or_supervision,review,b04_ts_null_undefined_distinction,,full_record_tokens,402,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_parser_line_numbers,context_or_supervision,review,b04_ts_parser_line_numbers,,full_record_tokens,321,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_table_discriminated_result,context_or_supervision,review,b04_ts_table_discriminated_result,,full_record_tokens,323,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:b04_ts_table_parse_boolean,context_or_supervision,review,b04_ts_table_parse_boolean,,full_record_tokens,404,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/incoming/phase3_5b_batch04_accepted.jsonl,,,
length:legacy:code_instruction_phase3:008,context_or_supervision,review,legacy:code_instruction_phase3:008,,full_record_tokens,275,answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/raw/code_instruction_phase3.txt,,,
length:legacy:code_instruction_seed:016,context_or_supervision,review,legacy:code_instruction_seed:016,,full_record_tokens,338,lexical proxy exceeds severe-outlier threshold 320; rerun with the project tokenizer before rewriting; answer lexical proxy exceeds severe-outlier threshold 192; rerun with the project tokenizer before rewriting,data/raw/code_instruction_seed.txt,,,
duplicate:b03_js_await_each_async_write:legacy:code_instruction_phase3:014:answer_structure:same normalized code structure,duplicate,review,b03_js_await_each_async_write,legacy:code_instruction_phase3:014,answer_structure,1.0,same normalized code structure,data/incoming/phase3_5b_batch03_accepted.jsonl | data/raw/code_instruction_phase3.txt,,,
duplicate:legacy:code_instruction_direct:001:legacy:code_instruction_seed:001:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:001,legacy:code_instruction_seed:001,answer,0.728814,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:001:legacy:code_instruction_seed:001:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_direct:001,legacy:code_instruction_seed:001,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:005:legacy:code_instruction_seed:006:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:005,legacy:code_instruction_seed:006,answer,0.734513,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:005:legacy:code_instruction_seed:006:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:005,legacy:code_instruction_seed:006,rendered,0.60452,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:006:legacy:code_instruction_seed:007:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:006,legacy:code_instruction_seed:007,answer,0.905172,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:006:legacy:code_instruction_seed:007:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:006,legacy:code_instruction_seed:007,rendered,0.698324,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:007:legacy:code_instruction_seed:008:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_direct:007,legacy:code_instruction_seed:008,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_phase3:015:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:008,legacy:code_instruction_phase3:015,answer,0.882353,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_phase3.txt,,,
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_phase3:015:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_direct:008,legacy:code_instruction_phase3:015,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_direct.txt | data/raw/code_instruction_phase3.txt,,,
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_phase3:015:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:008,legacy:code_instruction_phase3:015,rendered,0.68125,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_phase3.txt,,,
duplicate:legacy:code_instruction_direct:008:legacy:code_instruction_seed:009:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:008,legacy:code_instruction_seed:009,rendered,0.7125,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:009:legacy:code_instruction_seed:010:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:009,legacy:code_instruction_seed:010,answer,0.709091,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:009:legacy:code_instruction_seed:010:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_direct:009,legacy:code_instruction_seed:010,rendered,0.563953,high trigram Jaccard,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_direct:010:legacy:code_instruction_seed:011:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_direct:010,legacy:code_instruction_seed:011,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_direct.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_phase3:015:legacy:code_instruction_seed:009:answer:high trigram Jaccard,duplicate,review,legacy:code_instruction_phase3:015,legacy:code_instruction_seed:009,answer,0.882353,high trigram Jaccard,data/raw/code_instruction_phase3.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_phase3:015:legacy:code_instruction_seed:009:answer_structure:same normalized code structure,duplicate,review,legacy:code_instruction_phase3:015,legacy:code_instruction_seed:009,answer_structure,1.0,same normalized code structure,data/raw/code_instruction_phase3.txt | data/raw/code_instruction_seed.txt,,,
duplicate:legacy:code_instruction_phase3:015:legacy:code_instruction_seed:009:rendered:high trigram Jaccard,duplicate,review,legacy:code_instruction_phase3:015,legacy:code_instruction_seed:009,rendered,0.651429,high trigram Jaccard,data/raw/code_instruction_phase3.txt | data/raw/code_instruction_seed.txt,,,
